kalori,protein,karbohidrat,lemak,serat,gula,label
676,1,56,39,0,37,0
577,2,73,23,0,34,0
637,1,85,26,0,32,0
201,18,29,4,3,5,1
493,5,57,35,2,48,0
619,1,77,36,2,42,0
625,7,90,24,0,32,0
233,15,37,7,4,7,1
151,18,10,4,7,2,1
467,5,66,28,1,32,0
602,5,81,18,0,37,0
97,21,37,4,6,11,1
642,6,89,35,1,47,0
254,11,13,1,3,3,1
627,1,73,23,2,54,0
628,2,50,27,2,57,0
635,3,78,26,1,43,0
749,1,79,39,0,44,0
251,7,10,8,7,4,1
672,6,74,38,0,46,0
129,8,35,7,10,12,1
120,11,13,1,13,13,1
419,4,78,19,0,57,0
512,2,57,38,0,30,0
287,12,12,8,8,13,1
94,17,38,5,3,3,1
664,7,56,26,1,31,0
434,7,69,31,2,31,0
626,3,70,23,1,51,0
791,5,59,31,0,31,0
183,11,21,5,8,11,1
438,2,84,26,0,55,0
101,10,11,3,14,8,1
237,19,39,6,12,3,1
536,3,78,26,1,34,0
150,5,25,1,3,12,1
100,5,30,7,5,14,1
123,13,11,9,14,9,1
269,10,12,5,8,3,1
254,5,12,8,14,7,1
269,7,17,4,11,4,1
160,16,19,2,8,14,1
704,2,97,26,2,36,0
139,16,33,2,6,6,1
243,10,31,3,14,12,1
169,7,23,8,11,11,1
461,4,78,25,1,55,0
734,5,79,33,0,37,0
267,14,16,3,10,6,1
517,7,53,18,2,59,0
545,7,56,39,2,58,0
141,22,31,9,7,14,1
425,7,59,21,1,37,0
285,6,34,3,10,3,1
695,6,91,26,0,53,0
500,4,67,17,2,36,0
94,7,31,3,3,14,1
281,20,26,9,7,4,1
405,3,98,25,1,56,0
117,15,15,9,12,13,1
768,4,50,33,2,58,0
168,24,14,7,5,2,1
268,7,23,3,8,4,1
510,7,78,25,2,43,0
611,6,83,33,0,46,0
240,6,17,5,14,12,1
81,11,31,1,9,4,1
719,6,96,17,1,40,0
246,24,12,5,7,8,1
663,7,92,28,0,34,0
103,5,22,7,11,6,1
218,7,11,3,8,12,1
533,7,87,35,1,42,0
579,6,56,20,2,57,0
242,20,31,3,3,11,1
798,2,82,26,0,43,0
213,9,33,3,12,8,1
185,6,24,7,6,12,1
163,21,37,1,7,11,1
717,6,85,19,2,42,0
601,6,90,36,1,49,0
638,6,50,19,2,35,0
210,24,28,9,5,3,1
295,13,24,7,12,7,1
183,15,12,1,14,12,1
236,20,22,1,7,11,1
168,6,23,3,8,14,1
87,5,10,1,13,3,1
196,17,10,7,6,9,1
290,11,33,2,8,2,1
681,6,66,32,1,58,0
269,24,19,2,6,6,1
190,21,29,3,8,13,1
405,3,99,28,1,57,0
138,15,37,9,3,12,1
179,23,25,5,6,8,1
508,7,74,27,0,53,0
178,6,14,7,7,9,1
529,3,70,24,0,39,0
171,21,10,1,8,2,1
403,6,99,15,0,47,0
267,6,38,5,5,5,1
283,14,36,6,12,10,1
510,1,82,36,1,38,0
789,4,81,35,2,36,0
721,2,51,16,1,34,0
241,24,29,5,7,13,1
231,21,36,7,14,11,1
510,1,55,21,0,44,0
127,23,20,8,8,3,1
202,5,35,5,11,9,1
732,2,57,16,0,56,0
133,15,32,5,10,9,1
624,4,56,36,2,37,0
723,7,77,29,1,53,0
124,24,10,9,10,2,1
116,22,37,6,7,12,1
775,1,50,24,0,38,0
714,3,98,18,1,54,0
511,7,62,37,2,40,0
152,13,15,8,14,13,1
412,7,76,32,1,59,0
433,1,98,36,2,33,0
485,1,60,24,2,56,0
91,12,26,7,3,11,1
400,5,73,29,2,45,0
249,11,24,5,5,4,1
142,13,37,4,11,9,1
719,3,69,35,2,38,0
437,1,72,33,1,42,0
280,8,35,7,8,9,1
203,7,34,9,4,10,1
525,5,87,38,1,39,0
144,21,17,6,3,11,1
718,4,97,17,2,59,0
785,1,65,39,1,48,0
673,4,89,19,0,34,0
793,6,92,23,2,32,0
632,7,73,16,2,42,0
172,7,13,7,12,2,1
94,20,29,4,9,3,1
230,7,24,2,5,3,1
466,1,93,22,1,35,0
88,20,23,4,4,10,1
717,6,81,35,0,57,0
538,7,77,27,0,39,0
160,23,11,5,13,14,1
114,23,27,2,12,6,1
100,23,31,7,4,6,1
133,24,27,9,14,8,1
537,2,95,31,0,55,0
132,12,33,1,7,7,1
622,5,96,35,1,42,0
770,5,96,16,0,44,0
672,5,59,19,2,33,0
674,3,81,38,0,48,0
435,2,63,31,2,45,0
209,9,12,3,3,2,1
764,2,69,23,2,31,0
83,10,31,4,12,7,1
551,5,98,22,0,37,0
414,5,58,35,1,52,0
154,19,16,1,3,9,1
128,16,39,5,11,6,1
267,11,28,1,5,13,1
127,20,15,7,8,9,1
493,4,70,20,0,58,0
489,4,72,34,0,38,0
424,1,56,37,0,47,0
210,23,39,2,7,10,1
174,8,18,9,13,14,1
749,4,72,24,2,31,0
611,3,99,36,2,45,0
287,24,37,5,14,13,1
297,5,19,4,4,5,1
517,3,72,37,1,35,0
214,12,35,9,9,5,1
209,8,15,8,5,2,1
536,6,96,39,1,46,0
112,7,19,3,7,8,1
776,7,77,16,0,39,0
182,7,38,5,4,11,1
660,6,81,22,0,42,0
412,7,53,25,0,52,0
294,11,38,4,7,4,1
781,6,82,31,1,50,0
541,3,57,33,1,42,0
544,2,67,31,2,47,0
279,23,25,1,11,11,1
298,24,10,6,9,3,1
93,11,38,1,11,14,1
402,5,75,37,2,46,0
734,5,52,25,1,53,0
549,5,98,19,2,44,0
532,5,83,36,2,42,0
294,13,17,3,6,2,1
400,1,60,29,1,57,0
409,5,63,23,2,40,0
271,17,22,5,9,7,1
430,4,68,21,1,35,0
186,19,13,6,7,10,1
208,9,28,3,13,10,1
137,17,36,7,6,2,1
597,4,50,20,2,54,0
427,3,75,34,2,32,0
730,5,68,36,2,53,0
494,7,68,16,2,41,0
151,10,31,5,14,7,1
88,6,26,4,4,5,1
107,21,31,7,7,14,1
215,20,32,5,13,2,1
733,5,67,31,0,56,0
182,9,25,8,10,14,1
278,6,30,3,9,9,1
